"Date","Transaction ID","Transaction Type","Currency","Amount","Fee","Net Amount","Asset Type","Asset Price","Asset Amount","Status","Notes","Name of sender/receiver","Account"
"2026-06-03 15:38:51 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","ORCL","$231.75","0.04314","COMPLETE","$10 Purchase of Oracle","","Cash Balance"
"2026-06-03 15:38:31 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MA","$472.09","0.02118","COMPLETE","$10 Purchase of Mastercard","","Cash Balance"
"2026-06-03 15:38:07 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","FISV","$55.13","0.18139","COMPLETE","$10 Purchase of Fiserv","","Cash Balance"
"2026-06-03 15:37:18 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","YUM","$149.14","0.06704","COMPLETE","$10 Purchase of Yum! Brands","","Cash Balance"
"2026-06-03 15:37:04 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","KO","$78.68","0.12709","COMPLETE","$10 Purchase of Coca-Cola","","Cash Balance"
"2026-06-03 15:36:21 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","COKE","$177.12","0.05645","COMPLETE","$10 Purchase of Coca-Cola Consolidated","","Cash Balance"
"2026-06-03 15:35:58 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","VSS","$158.69","0.06301","COMPLETE","$10 Purchase of Vanguard FTSE All World ex US Small Cap ETF","","Cash Balance"
"2026-06-03 15:33:07 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","WFC","$78.68","0.12709","COMPLETE","$10 Purchase of Wells Fargo","","Cash Balance"
"2026-06-03 15:32:54 EDT","","Stock Buy","USD","-$9.99","$0.00","-$9.99","GS","$1,046.43","0.00955","COMPLETE","$9.99 Purchase of Goldman Sachs","","Cash Balance"
"2026-06-03 15:32:40 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","GSLC","$143.36","0.06975","COMPLETE","$10 Purchase of Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF","","Cash Balance"
"2026-06-03 15:32:23 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MS","$210.82","0.04743","COMPLETE","$10 Purchase of Morgan Stanley","","Cash Balance"
"2026-06-03 15:32:10 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","WBD","$27.05","0.36969","COMPLETE","$10 Purchase of Warner Bros. Discovery ","","Cash Balance"
"2026-06-03 15:31:42 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","LECO","$263.40","0.03796","COMPLETE","$10 Purchase of Lincoln Electric","","Cash Balance"
"2026-06-03 15:30:45 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","V","$314.23","0.03182","COMPLETE","$10 Purchase of Visa","","Cash Balance"
"2026-06-03 15:30:11 EDT","","Deposits","USD","$200.00","$0.00","$200.00","","","","COMPLETE","Add Cash","","Visa debit 3333"
"2026-06-03 15:29:50 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","CRM","$190.53","0.05248","COMPLETE","$10 Purchase of Salesforce","","Cash Balance"
"2026-06-03 15:29:17 EDT","","Bitcoin Buy","USD","-$9.80","-$0.20","-$10.00","BTC","$66,010.01","0.00014846","COMPLETE","purchase of BTC 0.00014846","","Cash Balance"
"2026-06-03 15:28:58 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","DOW","$35.50","0.2817","COMPLETE","$10 Purchase of Dow","","Cash Balance"
"2026-06-03 15:28:29 EDT","","Stock Buy","USD","-$25.00","$0.00","-$25.00","UBER","$71.11","0.35157","COMPLETE","$25 Purchase of Uber Technologies","","Cash Balance"
"2026-06-03 15:27:58 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","PD","$9.11","1.09781","COMPLETE","$10 Purchase of PagerDuty","","Cash Balance"
"2026-06-03 15:25:59 EDT","","Stock Buy","USD","-$25.00","$0.00","-$25.00","AMX","$25.63","0.97549","COMPLETE","$25 Purchase of America Movil","","Cash Balance"
"2026-06-03 15:25:09 EDT","","Stock Buy","USD","-$25.00","$0.00","-$25.00","CG","$41.89","0.59682","COMPLETE","$25 Purchase of The Carlyle Group","","Cash Balance"
"2026-06-03 15:24:53 EDT","","Stock Buy","USD","-$20.00","$0.00","-$20.00","RDDT","$167.82","0.11917","COMPLETE","$20 Purchase of Reddit","","Cash Balance"
"2026-06-03 15:24:06 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","CLX","$88.42","0.11309","COMPLETE","$10 Purchase of Clorox","","Cash Balance"
"2026-06-03 15:23:43 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","NET","$266.97","0.03745","COMPLETE","$10 Purchase of Cloudflare","","Cash Balance"
"2026-06-03 15:23:22 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","NFLX","$81.55","0.12262","COMPLETE","$10 Purchase of Netflix","","Cash Balance"
"2026-06-03 15:23:08 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","AMZN","$248.50","0.04024","COMPLETE","$10 Purchase of Amazon","","Cash Balance"
"2026-06-03 15:22:37 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","XYZ","$69.87","0.14312","COMPLETE","$10 Purchase of Block","","Cash Balance"
"2026-06-03 15:21:41 EDT","","Deposits","USD","$200.00","$0.00","$200.00","","","","COMPLETE","Add Cash","","Visa debit 3333"
"2026-06-03 15:20:29 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MSFT","$428.31","0.02334","COMPLETE","$10 Purchase of Microsoft","","Cash Balance"
"2026-06-03 15:20:16 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","CRWD","$757.85","0.01319","COMPLETE","$10 Purchase of CrowdStrike","","Cash Balance"
"2026-06-03 14:46:30 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","ORCL","$232.00","0.0431","COMPLETE","$10 Purchase of Oracle","","Cash Balance"
"2026-06-03 14:46:11 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","JPM","$301.75","0.03314","COMPLETE","$10 Purchase of JPMorgan Chase","","Cash Balance"
"2026-06-03 14:45:50 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","PZZA","$31.85","0.314","COMPLETE","$10 Purchase of Papa John's","","Cash Balance"
"2026-06-03 13:42:41 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","WMG","$29.66","0.33718","COMPLETE","$10 Purchase of Warner Music","","Cash Balance"
"2026-06-03 13:41:52 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","DAL","$78.79","0.12692","COMPLETE","$10 Purchase of Delta Air Lines","","Cash Balance"
"2026-06-03 13:41:00 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","BRK.B","$478.13","0.02091","COMPLETE","$10 Purchase of Berkshire Hathaway Class B","","Cash Balance"
"2026-06-03 13:35:24 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","WFC","$78.34","0.12765","COMPLETE","$10 Purchase of Wells Fargo","","Cash Balance"
"2026-06-03 13:35:10 EDT","","Stock Buy","USD","-$20.00","$0.00","-$20.00","VZ","$46.50","0.43011","COMPLETE","$20 Purchase of Verizon Communications","","Cash Balance"
"2026-06-03 12:57:03 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","XYZ","$69.67","0.14353","COMPLETE","$10 Purchase of Block","","Cash Balance"
"2026-06-03 12:56:00 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","DIS","$99.71","0.10029","COMPLETE","$10 Purchase of Disney","","Cash Balance"
"2026-06-03 12:17:25 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","V","$311.31","0.03212","COMPLETE","$10 Purchase of Visa","","Cash Balance"
"2026-06-03 12:17:07 EDT","","Savings Internal Transfer","USD","-$50.00","$0.00","-$50.00","","","","COMPLETE","Savings","","Cash Balance"
"2026-06-03 12:16:50 EDT","","Bitcoin Buy","USD","-$9.80","-$0.20","-$10.00","BTC","$66,582.56","0.00014719","COMPLETE","purchase of BTC 0.00014719","","Cash Balance"
"2026-06-03 12:16:20 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","UBER","$70.52","0.1418","COMPLETE","$10 Purchase of Uber Technologies","","Cash Balance"
"2026-06-03 12:15:42 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","INTU","$313.03","0.03194","COMPLETE","$10 Purchase of Intuit","","Cash Balance"
"2026-06-03 12:02:11 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","BBJP","$76.02","0.13154","COMPLETE","$10 Purchase of JPMorgan BetaBuilders Japan ETF","","Cash Balance"
"2026-06-03 11:53:29 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","VGLT","$54.44","0.18369","COMPLETE","$10 Purchase of Vanguard Long-Treasury ETF","","Cash Balance"
"2026-06-03 11:52:14 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","AFRM","$65.83","0.1519","COMPLETE","$10 Purchase of Affirm","","Cash Balance"
"2026-06-03 11:51:48 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","GOOG","$355.87","0.02809","COMPLETE","$10 Purchase of Alphabet Inc. Class C ","","Cash Balance"
"2026-06-03 11:51:35 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","GOOGL","$359.69","0.0278","COMPLETE","$10 Purchase of Alphabet Inc. Class A","","Cash Balance"
"2026-06-03 11:50:37 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","COMPLETE","Add Cash","","Visa debit 3333"
"2026-06-03 11:50:14 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","XYZ","$69.62","0.14364","COMPLETE","$10 Purchase of Block","","Cash Balance"
"2026-06-03 11:49:42 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","VFH","$124.12","0.08056","COMPLETE","$10 Purchase of Vanguard Financials ETF","","Cash Balance"
"2026-06-03 11:49:05 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","VHT","$275.30","0.03632","COMPLETE","$10 Purchase of Vanguard Health Care ETF","","Cash Balance"
"2026-06-03 11:41:41 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","UHAL","$55.46","0.18029","COMPLETE","$10 Purchase of U-Haul","","Cash Balance"
"2026-06-03 11:41:17 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","PZZA","$31.55","0.31691","COMPLETE","$10 Purchase of Papa John's","","Cash Balance"
"2026-06-03 11:20:08 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MA","$467.00","0.02141","COMPLETE","$10 Purchase of Mastercard","","Cash Balance"
"2026-06-03 11:19:46 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","M","$21.62","0.46262","COMPLETE","$10 Purchase of Macy's","","Cash Balance"
"2026-06-03 11:19:28 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","GOOGL","$359.35","0.02782","COMPLETE","$10 Purchase of Alphabet Inc. Class A","","Cash Balance"
"2026-06-03 11:18:55 EDT","","Stock Buy","USD","-$20.00","$0.00","-$20.00","YUM","$149.54","0.13374","COMPLETE","$20 Purchase of Yum! Brands","","Cash Balance"
"2026-06-03 11:18:39 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MCD","$274.87","0.03638","COMPLETE","$10 Purchase of McDonald's","","Cash Balance"
"2026-06-03 11:18:18 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","KO","$78.50","0.12739","COMPLETE","$10 Purchase of Coca-Cola","","Cash Balance"
"2026-06-03 11:17:56 EDT","","Stock Buy","USD","-$1.00","$0.00","-$1.00","COIN","$166.43","0.006","COMPLETE","$1 Purchase of Coinbase","","Cash Balance"
"2026-06-03 11:17:16 EDT","","","USD","$5.00","$0.00","$5.00","DKNG","$24.87","0.20103","COMPLETE","$5 Sale of Draft Kings","","Cash Balance"
"2026-06-03 11:16:53 EDT","","","USD","$19.99","$0.00","$19.99","LITE","$967.22","0.02067","COMPLETE","$19.99 Sale of Lumentum","","Cash Balance"
"2026-06-03 11:15:33 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","V","$310.22","0.03223","COMPLETE","$10 Purchase of Visa","","Cash Balance"
"2026-06-03 11:14:44 EDT","","Bitcoin Buy","USD","-$0.98","-$0.02","-$1.00","BTC","$66,904.02","0.00001465","COMPLETE","purchase of BTC 0.00001465","","Cash Balance"
"2026-06-03 11:14:26 EDT","","Deposits","USD","$200.00","$0.00","$200.00","","","","COMPLETE","Add Cash","","Visa debit 3333"
"2026-06-03 11:13:51 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MCD","$275.38","0.03631","COMPLETE","$10 Purchase of McDonald's","","Cash Balance"
"2026-06-03 11:12:56 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","JPM","$297.45","0.03361","COMPLETE","$10 Purchase of JPMorgan Chase","","Cash Balance"
"2026-06-03 11:12:32 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","PZZA","$31.51","0.31732","COMPLETE","$10 Purchase of Papa John's","","Cash Balance"
"2026-06-03 11:12:01 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","TSLA","$432.10","0.02314","COMPLETE","$10 Purchase of Tesla","","Cash Balance"
"2026-06-03 11:11:16 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","WMT","$116.23","0.08603","COMPLETE","$10 Purchase of Walmart","","Cash Balance"
"2026-06-03 11:10:50 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","BNDX","$48.06","0.20807","COMPLETE","$10 Purchase of Vanguard Total International Bond ETF","","Cash Balance"
"2026-06-03 11:10:08 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","F","$15.89","0.62936","COMPLETE","$10 Purchase of Ford Motor","","Cash Balance"
"2026-06-03 11:08:51 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","VSS","$159.25","0.06279","COMPLETE","$10 Purchase of Vanguard FTSE All World ex US Small Cap ETF","","Cash Balance"
"2026-06-03 11:08:22 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","ADP","$226.23","0.0442","COMPLETE","$10 Purchase of Automatic Data Processing","","Cash Balance"
"2026-06-03 11:07:55 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","META","$616.31","0.01622","COMPLETE","$10 Purchase of Meta","","Cash Balance"
"2026-06-03 11:07:22 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","IEP","$7.54","1.32643","COMPLETE","$10 Purchase of Icahn Enterprises","","Cash Balance"
"2026-06-03 11:06:50 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","VSS","$159.33","0.06276","COMPLETE","$10 Purchase of Vanguard FTSE All World ex US Small Cap ETF","","Cash Balance"
"2026-06-03 10:35:31 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","WFC","$78.08","0.12807","COMPLETE","$10 Purchase of Wells Fargo","","Cash Balance"
"2026-06-03 09:55:07 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MCD","$275.84","0.03625","COMPLETE","$10 Purchase of McDonald's","","Cash Balance"
"2026-06-03 09:54:31 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","BAM","$45.68","0.21892","COMPLETE","$10 Purchase of Brookfield Asset Management","","Cash Balance"
"2026-06-03 09:53:46 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","PD","$9.41","1.06292","COMPLETE","$10 Purchase of PagerDuty","","Cash Balance"
"2026-06-03 09:53:14 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","DOCU","$52.74","0.18959","COMPLETE","$10 Purchase of DocuSign","","Cash Balance"
"2026-06-03 09:52:36 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","JPM","$298.71","0.03347","COMPLETE","$10 Purchase of JPMorgan Chase","","Cash Balance"
"2026-06-03 09:49:03 EDT","","Deposits","USD","$100.00","$0.00","$100.00","","","","COMPLETE","Add Cash","","Visa debit 3333"
"2026-06-03 09:48:39 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","DELL","$412.63","0.02423","COMPLETE","$10 Purchase of Dell Technologies","","Cash Balance"
"2026-06-03 09:48:13 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","META","$608.55","0.01643","COMPLETE","$10 Purchase of Meta","","Cash Balance"
"2026-06-03 09:43:52 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","XYZ","$71.59","0.13968","COMPLETE","$10 Purchase of Block","","Cash Balance"
"2026-06-03 09:43:35 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","AMZN","$255.55","0.03913","COMPLETE","$10 Purchase of Amazon","","Cash Balance"
"2026-06-03 09:34:50 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","BRK.B","$470.44","0.02125","COMPLETE","$10 Purchase of Berkshire Hathaway Class B","","Cash Balance"
"2026-06-03 09:33:56 EDT","","Stock Buy","USD","-$1.00","$0.00","-$1.00","XYZ","$72.82","0.01373","COMPLETE","$1 Purchase of Block","","Cash Balance"
"2026-06-03 09:33:39 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","ORCL","$236.10","0.04235","COMPLETE","$10 Purchase of Oracle","","Cash Balance"
"2026-06-03 09:33:11 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","F","$16.14","0.61957","COMPLETE","$10 Purchase of Ford Motor","","Cash Balance"
"2026-06-03 09:33:00 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MS","$212.67","0.04702","COMPLETE","$10 Purchase of Morgan Stanley","","Cash Balance"
"2026-06-03 09:33:00 EDT","","Stock Buy","USD","-$1.00","$0.00","-$1.00","WFC","$78.67","0.01271","COMPLETE","$1 Purchase of Wells Fargo","","Cash Balance"
"2026-06-03 09:32:54 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","DELL","$430.00","0.02325","COMPLETE","$10 Purchase of Dell Technologies","","Cash Balance"
"2026-06-03 09:30:32 EDT","","Stock Buy","USD","-$1.00","$0.00","-$1.00","UBER","$71.00","0.01408","COMPLETE","$1 Purchase of Uber Technologies","","Cash Balance"
"2026-06-03 09:30:31 EDT","","Stock Buy","USD","-$10.00","$0.00","-$10.00","MGM","$48.00","0.20833","COMPLETE","$10 Purchase of MGM Resorts","","Cash Balance"
